instance,nodes_graph,edges,obj,bound,gap_pct,time_s,time_limit,bb_nodes,lp_iters,lp_iters_strongbr,lp_iters_sep,lp_iters_heur,total_cuts,cut_rounds,sec_cuts,sec_rounds,sec_time,rci_cuts,rci_rounds,rci_time,multistar_cuts,multistar_rounds,multistar_time,rglm_cuts,rglm_rounds,rglm_time,comb_cuts,comb_rounds,comb_time,warmstart_ub,warmstart_time
B-n50-k8-40,50,1225,-12832,-12832,0,30.2865,3600,8718,167100,0,22088,10359,6041,877,2631,877,0.188,787,530,0.089,2623,876,0.113,0,0,0,0,0,0.009,-12832,0.500469
B-n52-k7-15,52,1326,-74998,-74998,0,6.36476,60,413,10662,0,1796,4906,875,135,403,135,0.037,91,58,0.025,381,128,0.029,0,0,0,0,0,0.003,-63789,0.510888
B-n57-k7-20,57,1596,-867154,-867154,0,4.63007,60,108,5772,0,1529,2652,529,93,273,91,0.053,12,12,0.029,244,83,0.029,0,0,0,0,0,0.003,-823164,0.505332
B-n66-k9-50,66,2145,-26520,-26520,0,50.9872,60,1756,94869,0,24253,6830,3311,505,1510,504,0.187,309,216,0.130,1492,498,0.240,0,0,0,0,0,0.025,-19401,0.504076
B-n67-k10-26,67,2211,-21924,-21924,0,6.09888,60,192,9342,0,2086,2140,684,110,324,108,0.048,53,35,0.029,307,103,0.041,0,0,0,0,0,0.001,-15924,0.512218
B-n68-k9-65,68,2278,-31001,-31001,0,50.6403,3600,2505,114610,0,18391,11391,2884,439,1314,438,0.260,283,200,0.112,1287,431,0.221,0,0,0,0,0,0.011,-17108,0.525764
B-n78-k10-70,78,3003,-44333,-44333,0,30.9439,60,1151,54518,0,8276,8983,1387,229,640,216,0.113,170,103,0.088,577,198,0.120,0,0,0,0,0,0.010,-22333,0.506775
E-n101-k14-158,101,5050,-3590,-3590,0,228.904,3600,8020,746060,0,110655,41822,8821,1497,4394,1484,0.999,391,288,0.267,4036,1407,0.776,0,0,0,0,0,0.039,-2342,0.500688
E-n101-k8-291,101,5050,-4266,-4266,0,22.9322,60,256,15310,0,4215,2713,748,127,363,122,0.176,98,48,0.227,287,98,0.156,0,0,0,0,0,0.026,-2608,0.522472
E-n76-k10-72,76,2850,-25241,-25241,0,15.3729,60,440,27833,0,3334,8060,693,125,331,111,0.050,73,41,0.041,289,100,0.059,0,0,0,0,0,0.005,-12818,0.51352
E-n76-k14-102,76,2850,-1,-1,0,99.4078,3600,5803,374923,0,58860,22384,4395,1128,2710,990,0.206,88,72,0.138,1597,646,0.207,0,0,0,0,0,0.022,-1,0.500437
E-n76-k15-40,76,2850,-1,-1,0,62.0765,3600,4818,297535,0,46044,17255,3471,906,2070,776,0.166,74,53,0.081,1327,528,0.160,0,0,0,0,0,0.011,-1,0.500283
E-n76-k7-44,76,2850,-22214,-22214,0,9.01917,60,268,13378,0,2926,2355,721,134,351,120,0.069,81,39,0.043,289,99,0.082,0,0,0,0,0,0.006,-14252,0.510964
